;response;response_exp;cum.response;cum.response_exp;point.pred;point.pred_exp;point.pred.lower;point.pred.lower_exp;point.pred.upper;point.pred.upper_exp;cum.pred;cum.pred_exp;cum.pred.lower;cum.pred.lower_exp;cum.pred.upper;cum.pred.upper_exp;point.effect;point.effect.lower;point.effect.upper;cum.effect;cum.effect.lower;cum.effect.upper
51;4,219507705;68;204,7515109;2866;4,053282681;57,58618418;3,710654525;40,8805551;4,384314441;80,18323404;204,7515109;2849;204,7515109;2035;204,7515109;3989;0,166225024;-0,164806736;0,508853181;0;0;0
52;4,158883083;64;208,910394;2930;3,811858926;45,23444825;3,461979722;31,88002768;4,155619021;63,79144056;208,910394;2894;208,910394;2067;208,910394;4053;0,347024157;0,003264062;0,696903361;0;0;0
53;3,555348061;35;212,4657421;2965;3,804802022;44,91635677;3,442362017;31,26070935;4,130497006;62,20883343;212,4657421;2939;212,4657421;2098;212,4657421;4115;-0,24945396;-0,575148945;0,112986045;0;0;0
54;4,17438727;65;216,6401294;3030;4,086400326;59,52523418;3,753616928;42,67515617;4,427504278;83,7222086;216,6401294;2999;216,6401294;2141;216,6401294;4199;0,087986943;-0,253117008;0,420770342;0;0;0
55;4,248495242;70;220,8886246;3100;4,038237915;56,72629814;3,703376744;40,58411541;4,36290114;78,48449897;220,8886246;3056;220,8886246;2182;220,8886246;4277;0,210257327;-0,114405898;0,545118498;0;0;0
56;4,127134385;62;225,015759;3162;4,107900862;60,81891616;3,757955722;42,86071715;4,422312019;83,28862779;225,015759;3116;225,015759;2224;225,015759;4360;0,019233523;-0,295177634;0,369178663;0;0;0
57;4,262679877;71;229,2784389;3233;4,118386472;61,45999481;3,801720452;44,77815695;4,482112432;88,42125944;229,2784389;3178;229,2784389;2269;229,2784389;4449;0,144293405;-0,219432555;0,460959425;0;0;0
58;4,007333185;55;233,285772;3288;4,038648525;56,7495953;3,674693882;39,43658275;4,377489397;79,63784323;233,285772;3235;233,285772;2309;233,285772;4528;-0,03131534;-0,370156212;0,332639304;0;0;0
59;3,951243719;52;237,2370158;3340;4,060693093;58,01450661;3,728895661;41,6331057;4,401998651;81,61382335;237,2370158;3293;237,2370158;2350;237,2370158;4610;-0,109449375;-0,450754933;0,222348058;0;0;0
60;4,219507705;68;241,4565235;3408;4,083887746;59,37585998;3,72030982;41,27718062;4,402475058;81,65271394;241,4565235;3352;241,4565235;2392;241,4565235;4692;0,135619959;-0,182967352;0,499197885;0;0;0
61;4,394449155;81;245,8509726;3489;4,201651267;66,79653892;3,850847595;47,03291121;4,551865074;94,80906946;245,8509726;3419;245,8509726;2439;245,8509726;4786;0,192797888;-0,157415919;0,543601559;0;0;0
62;4,143134726;63;249,9941074;3552;4,195119497;66,36166111;3,883413013;48,58976991;4,564937007;96,05654293;249,9941074;3485;249,9941074;2487;249,9941074;4883;-0,05198477;-0,421802281;0,259721713;0;0;0
63;4,060443011;58;254,0545504;3610;4,096021743;60,10071527;3,770688641;43,4099484;4,414246879;82,61959488;254,0545504;3545;254,0545504;2531;254,0545504;4965;-0,035578732;-0,353803868;0,28975437;0;0;0
64;4,110873864;61;258,1654242;3671;4,058713131;57,89975373;3,709832967;40,84698318;4,384606855;80,20668418;258,1654242;3603;258,1654242;2571;258,1654242;5045;0,052160733;-0,273732991;0,401040897;0;0;0
65;3,828641396;46;261,9940656;3717;3,970251906;52,99787965;3,641353372;38,14342407;4,311764792;74,57197692;261,9940656;3656;261,9940656;2610;261,9940656;5120;-0,14161051;-0,483123396;0,187288024;0;0;0
66;4,025351691;56;266,0194173;3773;4,081689388;59,24547393;3,755105972;42,73874869;4,408283395;82,12836049;266,0194173;3715;266,0194173;2652;266,0194173;5202;-0,056337697;-0,382931704;0,270245718;0;0;0
67;4,17438727;65;270,1938046;3838;3,90806562;49,80252175;3,569044084;35,48265848;4,248398578;69,99323387;270,1938046;3765;270,1938046;2688;270,1938046;5272;0,26632165;-0,074011308;0,605343186;0;0;0
68;3,871201011;48;274,0650056;3886;3,997207425;54,44589328;3,673716772;39,3980677;4,309959858;74,43750078;274,0650056;3820;274,0650056;2727;274,0650056;5346;-0,126006414;-0,438758847;0,197484239;0;0;0
69;3,688879454;40;277,753885;3926;3,983925899;53,72754965;3,661883751;38,93461695;4,324323569;75,51441528;277,753885;3873;277,753885;2766;277,753885;5422;-0,295046445;-0,635444115;0,026995703;0;0;0
70;4,025351691;56;281,7792367;3982;4,030073431;56,26504271;3,700716888;40,47631095;4,377728325;79,65687322;281,7792367;3930;281,7792367;2807;281,7792367;5502;-0,004721741;-0,352376635;0,324634803;0;0;0
71;4,158883083;64;285,9381198;4046;4,070032032;58,55883835;3,740194557;42,10618141;4,375978172;79,51758339;285,9381198;3988;285,9381198;2849;285,9381198;5581;0,088851051;-0,217095089;0,418688527;0;0;0
72;4,007333185;55;289,945453;4101;4,012539864;55,28711414;3,699237129;40,41646006;4,347832954;77,31074536;289,945453;4044;289,945453;2889;289,945453;5658;-0,005206679;-0,340499769;0,308096056;0;0;0
73;3,931825633;51;293,8772786;4152;3,910942601;49,94600897;3,574265837;35,66842476;4,258225653;70,68445335;293,8772786;4094;293,8772786;2925;293,8772786;5729;0,020883031;-0,32640002;0,357559796;0;0;0
